TaxNumber,TaxOrder,Taxon,Order,Family,Genus,Species,Subspecies,Common Name
1,1201010000,Acinonyx,Carnivora,Felidae,Acinonyx,,,
2,1201010100,Acinonyx jubatus,Carnivora,Felidae,Acinonyx,jubatus,,Cheetah
3,1406010000,Aepyceros,Artiodactyla,Bovidae,Aepyceros,,,
4,1406010100,Aepyceros melampus,Artiodactyla,Bovidae,Aepyceros,melampus,,Impala
5,1406010101,Aepyceros melampus suara,Artiodactyla,Bovidae,Aepyceros,melampus,suara,Impala
6,1406020000,Alcelaphus,Artiodactyla,Bovidae,Alcelaphus,,,
7,1406020100,Alcelaphus buselaphus,Artiodactyla,Bovidae,Alcelaphus,buselaphus,,Hartebeest
8,1406020101,Alcelaphus buselaphus cokii,Artiodactyla,Bovidae,Alcelaphus,buselaphus,cokii,Hartebeest
10,1404010000,Alces,Artiodactyla,Cervidae,Alces,,,
11,1404010100,Alces americanus,Artiodactyla,Cervidae,Alces,americanus,,Moose
13,1205030100,Vulpes lagopus,Carnivora,Canidae,Vulpes,lagopus,,Arctic Fox
14,1406050000,Ammodorcas,Artiodactyla,Bovidae,Ammodorcas,,,
15,1406050100,Ammodorcas clarkei,Artiodactyla,Bovidae,Ammodorcas,clarkei,,Dibatag
16,702040000,Ammospermophilus,Rodentia,Sciuridae,Ammospermophilus,,,
17,702040100,Ammospermophilus harrisii,Rodentia,Sciuridae,Ammospermophilus,harrisii,,Harris's Antelope Squirrel
18,702040200,Ammospermophilus leucurus,Rodentia,Sciuridae,Ammospermophilus,leucurus,,White-tailed Antelope Squirrel
19,702040300,Ammospermophilus nelsoni,Rodentia,Sciuridae,Ammospermophilus,nelsoni,,Nelson's Antelope Squirrel
20,1406190000,Ammotragus,Artiodactyla,Bovidae,Ammotragus,,,
21,1406190100,Ammotragus lervia,Artiodactyla,Bovidae,Ammotragus,lervia,,Barbary Sheep
22,1406060000,Antidorcas,Artiodactyla,Bovidae,Antidorcas,,,
23,1406060100,Antidorcas marsupialis,Artiodactyla,Bovidae,Antidorcas,marsupialis,,Springbok
24,1405010000,Antilocapra,Artiodactyla,Antilocapridae,Antilocapra,,,
25,1405010100,Antilocapra americana,Artiodactyla,Antilocapridae,Antilocapra,americana,,Pronghorn
26,1405000000,Antilocapridae,Artiodactyla,Antilocapridae,,,,
27,1406070000,Antilope,Artiodactyla,Bovidae,Antilope,,,
28,1406070100,Antilope cervicapra,Artiodactyla,Bovidae,Antilope,cervicapra,,Blackbuck
29,1105010000,Antrozous,Chiroptera,Vespertilionidae,Antrozous,,,
30,1105010100,Antrozous pallidus,Chiroptera,Vespertilionidae,Antrozous,pallidus,,Pallid Bat
31,701010000,Aplodontia,Rodentia,Aplodontiidae,Aplodontia,,,
32,701010100,Aplodontia rufa,Rodentia,Aplodontiidae,Aplodontia,rufa,,Mountain Beaver
33,701010101,Aplodontia rufa nigra,Rodentia,Aplodontiidae,Aplodontia,rufa,nigra,Point Arena Mountain Beaver
34,701000000,Aplodontiidae,Rodentia,Aplodontiidae,,,,
35,707010000,Arborimus,Rodentia,Cricetidae,Arborimus,,,
36,707010200,Arborimus pomo,Rodentia,Cricetidae,Arborimus,pomo,,Sonoma Tree Vole
37,1400000000,Artiodactyla,Artiodactyla,,,,,
38,1404040000,Axis,Artiodactyla,Cervidae,Axis,,,
39,1404050100,Cervus nippon,Artiodactyla,Cervidae,Cervus,nippon,,Sika Deer
40,1407010000,Balaenoptera,Artiodactyla,Balaenopteridae,Balaenoptera,,,
41,1407010100,Balaenoptera acutorostrata,Artiodactyla,Balaenopteridae,Balaenoptera,acutorostrata,,Common Minke Whale
42,1407000000,Balaenopteridae,Artiodactyla,Balaenopteridae,,,,
43,1212010000,Bassariscus,Carnivora,Procyonidae,Bassariscus,,,
44,1212010100,Bassariscus astutus,Carnivora,Procyonidae,Bassariscus,astutus,,Ringtail
45,1002020000,Blarina,Soricomorpha,Soricidae,Blarina,,,
46,1002020100,Blarina brevicauda,Soricomorpha,Soricidae,Blarina,brevicauda,,Northern Short-tailed Shrew
47,1406150000,Bos,Artiodactyla,Bovidae,Bos,,,
48,1406150400,Bos bison,Artiodactyla,Bovidae,Bos,bison,,American Bison
49,1406150200,Bos grunniens,Artiodactyla,Bovidae,Bos,grunniens,,Domestic Yak
50,1406150300,Bos taurus,Artiodactyla,Bovidae,Bos,taurus,,Domestic Cattle
51,1406000000,Bovidae,Artiodactyla,Bovidae,,,,
53,1207010000,Callorhinus,Carnivora,Otariidae,Callorhinus,,,
54,1207010100,Callorhinus ursinus,Carnivora,Otariidae,Callorhinus,ursinus,,Northern Fur Seal
55,1403000000,Camelidae,Artiodactyla,Camelidae,,,,
56,1205000000,Canidae,Carnivora,Canidae,,,,
57,1205010000,Canis,Carnivora,Canidae,Canis,,,
58,1205010400,Canis familiaris,Carnivora,Canidae,Canis,familiaris,,Domestic Dog
59,1205010200,Canis latrans,Carnivora,Canidae,Canis,latrans,,Coyote
60,1205010300,Canis lupus,Carnivora,Canidae,Canis,lupus,,Gray Wolf
61,1205010500,Canis mesomelas,Carnivora,Canidae,Canis,mesomelas,,Black-backed Jackal
62,1406200000,Capra,Artiodactyla,Bovidae,Capra,,,
63,1406200100,Capra hircus,Artiodactyla,Bovidae,Capra,hircus,,Domestic Goat
64,1200000000,Carnivora,Carnivora,,,,,
65,703010000,Castor,Rodentia,Castoridae,Castor,,,
66,703010100,Castor canadensis,Rodentia,Castoridae,Castor,canadensis,,North American Beaver
67,703000000,Castoridae,Rodentia,Castoridae,,,,
68,712010000,Cavia,Rodentia,Caviidae,Cavia,,,
69,712010100,Cavia porcellus,Rodentia,Caviidae,Cavia,porcellus,,Guinea Pig
70,712000000,Caviidae,Rodentia,Caviidae,,,,
71,603000000,Cebidae,Primates,Cebidae,,,,
72,1406240000,Cephalophus,Artiodactyla,Bovidae,Cephalophus,,,
73,1406240100,Cephalophus natalensis,Artiodactyla,Bovidae,Cephalophus,natalensis,,Red Duiker
74,604000000,Cercopithecidae,Primates,Cercopithecidae,,,,
75,604010000,Cercopithecus,Primates,Cercopithecidae,Cercopithecus,,,
76,1404000000,Cervidae,Artiodactyla,Cervidae,,,,
77,1404050000,Cervus,Artiodactyla,Cervidae,Cervus,,,
78,1404050200,Cervus canadensis,Artiodactyla,Cervidae,Cervus,canadensis,,Elk
79,1404050201,Cervus canadensis nannodes,Artiodactyla,Cervidae,Cervus,canadensis,nannodes,Tule Elk
80,1404050202,Cervus canadensis nelsoni,Artiodactyla,Cervidae,Cervus,canadensis,nelsoni,Rocky Mountain Elk
81,1404050203,Cervus canadensis roosevelti,Artiodactyla,Cervidae,Cervus,canadensis,roosevelti,Roosevelt Elk
82,1404060300,Rusa marianna,Artiodactyla,Cervidae,Rusa,marianna,,Philippine Deer
85,1104010000,Chaerephon,Chiroptera,Molossidae,Chaerephon,,,
86,1104010100,Chaerephon pumilus,Chiroptera,Molossidae,Chaerephon,pumilus,,Little Free-tailed Bat
87,704030000,Chaetodipus,Rodentia,Heteromyidae,Chaetodipus,,,
88,704030100,Chaetodipus fallax,Rodentia,Heteromyidae,Chaetodipus,fallax,,San Diego Pocket Mouse
89,704030200,Chaetodipus penicillatus,Rodentia,Heteromyidae,Chaetodipus,penicillatus,,Desert Pocket Mouse
90,711010000,Chinchilla,Rodentia,Chinchillidae,Chinchilla,,,
91,711010100,Chinchilla lanigera,Rodentia,Chinchillidae,Chinchilla,lanigera,,Long-tailed Chinchilla
92,711000000,Chinchillidae,Rodentia,Chinchillidae,,,,
93,1100000000,Chiroptera,Chiroptera,,,,,
94,707060000,Myodes,Rodentia,Cricetidae,Myodes,,,
95,707060100,Myodes californicus,Rodentia,Cricetidae,Myodes,californicus,,Western Red-backed Vole
96,707060101,Myodes californicus californicus,Rodentia,Cricetidae,Myodes,californicus,californicus,Western Red-backed Vole
97,707060200,Myodes gapperi,Rodentia,Cricetidae,Myodes,gapperi,,Southern Red-backed Vole
98,707060300,Myodes rutilus,Rodentia,Cricetidae,Myodes,rutilus,,Northern Red-backed Vole
99,1406030000,Connochaetes,Artiodactyla,Bovidae,Connochaetes,,,
100,1406030100,Connochaetes gnou,Artiodactyla,Bovidae,Connochaetes,gnou,,Black Wildebeest
101,1406030200,Connochaetes taurinus,Artiodactyla,Bovidae,Connochaetes,taurinus,,Blue Wildebeest
