TaxNumber,TaxOrder,Taxon,Order,Family,Genus,Species,Subspecies,Common Name,NewOrder,NewFamily,NewGenus
11,1404010100,Alces americanus,Artiodactyla,Cervidae,Alces,americanus,,Moose,,,
46,1002020100,Blarina brevicauda,Soricomorpha,Soricidae,Blarina,brevicauda,,Northern Short-tailed Shrew,EULIPOTYPHLA,,
61,1205010500,Canis mesomelas,Carnivora,Canidae,Canis,mesomelas,,Black-backed Jackal,,,
73,1406240100,Cephalophus natalensis,Artiodactyla,Bovidae,Cephalophus,natalensis,,Red Duiker,,,
86,1104010100,Chaerephon pumilus,Chiroptera,Molossidae,Chaerephon,pumilus,,Little Free-tailed Bat,,,Mops
95,707060100,Myodes californicus,Rodentia,Cricetidae,Myodes,californicus,,Western Red-backed Vole,,,Clethrionomys|Microtus|Peromyscus
96,707060101,Myodes californicus californicus,Rodentia,Cricetidae,Myodes,californicus,californicus,Western Red-backed Vole,,,Clethrionomys|Microtus|Peromyscus
97,707060200,Myodes gapperi,Rodentia,Cricetidae,Myodes,gapperi,,Southern Red-backed Vole,,,Clethrionomys|Microtus|Peromyscus
98,707060300,Myodes rutilus,Rodentia,Cricetidae,Myodes,rutilus,,Northern Red-backed Vole,,,Clethrionomys|Microtus|Peromyscus|Oecomys
180,1203020100,Galerella sanguinea,Carnivora,Herpestidae,Galerella,sanguinea,,Slender Mongoose,,,
197,711020100,Lagidium peruanum,Rodentia,Chinchillidae,Lagidium,peruanum,,Northern Mountain Viscacha,,,
203,1105040200,Lasiurus cinereus,Chiroptera,Vespertilionidae,Lasiurus,cinereus,,Hoary Bat,,,
293,1003030100,Neurotrichus gibbsii,Soricomorpha,Talpidae,Neurotrichus,gibbsii,,American Shrew Mole,EULIPOTYPHLA,,
343,1402010100,Pecari tajacu,Artiodactyla,Tayassuidae,Pecari,tajacu,,Collared Peccary,,,Dicotyles
379,1204020100,Proteles cristata,Carnivora,Hyaenidae,Proteles,cristata,,Aardwolf,,,
382,1101010100,Pteropus yapensis,Chiroptera,Pteropodidae,Pteropus,yapensis,,Flying Fox,,,
404,1003010100,Scalopus aquaticus,Soricomorpha,Talpidae,Scalopus,aquaticus,,Eastern Mole,EULIPOTYPHLA,,
406,1003020100,Scapanus latimanus,Soricomorpha,Talpidae,Scapanus,latimanus,,Broad-footed Mole,EULIPOTYPHLA,,
407,1003020200,Scapanus orarius,Soricomorpha,Talpidae,Scapanus,orarius,,Coast Mole,EULIPOTYPHLA,,
408,1003020300,Scapanus townsendii,Soricomorpha,Talpidae,Scapanus,townsendii,,Townsend's Mole,EULIPOTYPHLA,,
417,1002030100,Sorex bendirii,Soricomorpha,Soricidae,Sorex,bendirii,,Marsh Shrew,EULIPOTYPHLA,,
418,1002030200,Sorex cinereus,Soricomorpha,Soricidae,Sorex,cinereus,,Masked Shrew,EULIPOTYPHLA,,
419,1002030300,Sorex hoyi,Soricomorpha,Soricidae,Sorex,hoyi,,Pygmy Shrew,EULIPOTYPHLA,,
420,1002030400,Sorex pacificus,Soricomorpha,Soricidae,Sorex,pacificus,,Pacific Shrew,EULIPOTYPHLA,,
421,1002030401,Sorex pacificus pacificus,Soricomorpha,Soricidae,Sorex,pacificus,pacificus,Pacific Shrew,EULIPOTYPHLA,,
422,1002030500,Sorex palustris,Soricomorpha,Soricidae,Sorex,palustris,,American Water Shrew,EULIPOTYPHLA,,
423,1002030600,Sorex trowbridgii,Soricomorpha,Soricidae,Sorex,trowbridgii,,Trowbridge's Shrew,EULIPOTYPHLA,,
424,1002030700,Sorex vagrans,Soricomorpha,Soricidae,Sorex,vagrans,,Vagrant Shrew,EULIPOTYPHLA,,
425,1002030701,Sorex vagrans obscurus,Soricomorpha,Soricidae,Sorex,vagrans,obscurus,Vagrant Shrew,EULIPOTYPHLA,,
426,1002030702,Sorex vagrans vagrans,Soricomorpha,Soricidae,Sorex,vagrans,vagrans,Vagrant Shrew,EULIPOTYPHLA,,
443,1002010100,Suncus murinus,Soricomorpha,Soricidae,Suncus,murinus,,Asian House Shrew,EULIPOTYPHLA,,
478,1406170100,Taurotragus oryx,Artiodactyla,Bovidae,Taurotragus,oryx,,Common Eland,,,Tragelaphus
519,706010100,Zapus hudsonius,Rodentia,Dipodidae,Zapus,hudsonius,,Meadow Jumping Mouse,,,
520,706010200,Zapus princeps,Rodentia,Dipodidae,Zapus,princeps,,Western Jumping Mouse,,,
521,706010300,Zapus trinotatus,Rodentia,Dipodidae,Zapus,trinotatus,,Pacific Jumping Mouse,,,
527,203010100,Macropus eugenii,Diprotodontia,Macropodidae,Macropus,eugenii,,Tammar Wallaby,,,
564,1002030800,Sorex sonomae,Soricomorpha,Soricidae,Sorex,sonomae,,Fog Shrew,EULIPOTYPHLA,,
574,1002030900,Sorex ornatus,Soricomorpha,Soricidae,Sorex,ornatus,,Ornate Shrew,EULIPOTYPHLA,,
588,1002040100,Cryptotis parva,Soricomorpha,Soricidae,Cryptotis,parva,,North American least shrew,EULIPOTYPHLA,,
600,1104010200,Chaerephon ansorgei,Chiroptera,Molossidae,Chaerephon,ansorgei,,Ansorge's free-tailed bat,,,Mops
609,1501010100,Erinaceus pruneri,Erinaceomorpha,Erinaceidae,Erinaceus,pruneri,,,EULIPOTYPHLA,,
640,1002031000,Sorex preblei,Soricomorpha,Soricidae,Sorex,preblei,,Preble's Shrew,EULIPOTYPHLA,,
648,706020100,Napaeozapus insignis,Rodentia,Dipodidae,Napaeozapus,insignis,,Woodland jumping mouse,,,
653,707110900,Peromyscus interparietalis,Rodentia,Cricetidae,Peromyscus,interparietalis,,San Lorenzo mouse,,,
697,1403020100,Vicugna vicugna,Artiodactyla,Camelidae,Vicugna,vicugna,,Vicuña,,,Lama
717,1108010100,Cloeotis percivali,Chiroptera,Hipposideridae,Cloeotis,percivali,,Percival's trident bat,,,
733,802030600,Sylvilagus mansuetus,Lagomorpha,Leporidae,Sylvilagus,mansuetus,,San José brush rabbit,,,
743,1412010100,Eschrichtius robustus,Artiodactyla,Eschrichtiidae,Eschrichtius,robustus,,Gray whale,,BALAENOPTERIDAE,
759,1901010100,Antechinus stuartii,Dasyuromorphiaa,"	Dasyuridae",Antechinus,stuartii,,Brown Antechinus,DASYUROMORPHIA,,
791,1408070100,Delphinus bairdii,Artiodactyla,Delphinidae,Delphinus,bairdii,,,,,
801,1210100100,Aonyx cinereus,Carnivora,Mustelidae,Aonyx,cinereus,,Asian small-clawed otter,,,
803,1408080100,Lagenorhynchus obliquidens,Artiodactyla,Delphinidae,Lagenorhynchus,obliquidens,,Pacific white-sided dolphin,,,
811,1209010200,Phoca hispida,Carnivora,Phocidae,Phoca,hispida,,Ringed seal,,,
814,1501010200,Erinaceus europaeus,Erinaceomorpha,Erinaceidae,Erinaceus,europaeus,,European hedgehog,EULIPOTYPHLA,,
825,1411030200,Phocoenoides truei,Artiodactyla,Phocoenidae,Phocoenoides,truei,,Dall's porpoise,,,
849,707111600,Peromyscus pseudocrinitus,Rodentia,Cricetidae,Peromyscus,pseudocrinitus,,False Canyon Mouse,,,
875,702140100,Xerus princeps,Rodentia,Sciuridae,Xerus,princeps,,Mountain ground squirrel,,,
876,702140200,Xerus inaurus,Rodentia,Sciuridae,Xerus,inaurus,,Cape ground squirrel,,,
878,702150100,Paraxerus cepapi,Rodentia,Sciuridae,"	Paraxerus",capapi,,Smith's bush squirrel,,,
906,708120100,Gerbillurus vallinus,Rodentia,Muridae,Gerbillurus,vallinus,,Bushy-tailed hairy-footed gerbil,,,Gerbilliscus
912,708130100,Myotomys unisulcatus,Rodentia,Muridae,Myotomys,unisulcatus,,Bush vlei rat,,,Otomys
914,708120200,Gerbillurus paeba,Rodentia,Muridae,Gerbillurus,paeba,,Hairy-footed gerbil,,,Gerbilliscus
